# Fable TLC RTTI class dump (Steam Fable.exe, image base 0x400000)
# Source: fabletlcmod.com forum th=9198 (EternalNoob, 2012), goto=66825
# 2090 classes. Columns: VFT<TAB>flags<TAB>class<TAB>bases<TAB>rtti_kind
# rtti_kind: SI single / MI multiple / VI virtual inheritance (MSVC RTTI).
VFT	flags	class	bases	rtti_kind
0129D534	0004	C3DAnimation2		MI
0129D1F8	0002	C3DAnimationBlendState	:CSharedData: CIVCountedPointeeBase	SI
0129E9C8	0001	C3DAnimationBuilder	CBaseClassNonCopyable, CBaseClass	SI
0129CE50	0010	C3DAnimationInfo	:CAnimationData: CResource, CIVCountedPointeeBase	SI
01239840	0001	C3DAnimationInterpolator	CBaseClass	SI
0129E134	0001	C3DAnimationManager	CBaseClassNonCopyable, CBaseClass	SI
01249F50	0006	C3DAnimationState	C3DAnimationStateBase, CIVCountedPointeeBase	SI
01265128	0006	C3DAnimationStateAlpha	C3DAnimationState, C3DAnimationStateBase, CIVCountedPointeeBase	SI
01249F34	0006	C3DAnimationStateBase	CIVCountedPointeeBase	SI
0129D514	0007	C3DAnimationStats	CBaseObject, CBaseClass	SI
01265144	0006	C3DAnimationTransitionState	C3DAnimationStateBase, CIVCountedPointeeBase	SI
0129E034	0001	C3DAnimFile	CChunkedFile, CBaseClassNonCopyable, CBaseClass	SI
0129E980	0011	C3DAnimFileBoneMaskChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E7C0	0011	C3DAnimFileHelpersChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E060	0001	C3DAnimFileLoader	CChunkedFileLoader	SI
0129E83C	0011	C3DAnimFileMovementVectorChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E904	0011	C3DAnimFileObjectChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129DFF0	0011	C3DAnimFileRootChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129DFE0	0001	C3DAnimFileSaver	CChunkedFileSaver	SI
0129E8B8	0011	C3DAnimFileSequenceChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E7F0	0011	C3DAnimFileTimingEventChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E144	0011	C3DAnimFileXAllocationSizeChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E1E4	0001	C3DAnimFileXLoader	C3DAnimFileLoader, CChunkedFileLoader	SI
0129E194	0011	C3DAnimFileXSequenceChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129DF74	0001	C3DClothPrimitive	CBaseClassNonCopyable, CBaseClass	SI
0129DEF0	0010	C3DMesh2	C3DMeshStats, CMovableResource	SI
0129E0D8	0001	C3DMeshFile	CChunkedFile, CBaseClassNonCopyable, CBaseClass	SI
0129EB9C	0011	C3DMeshFileBoneChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129F008	0011	C3DMeshFileClothChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E634	0011	C3DMeshFileConvexVolumeChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E5F4	0011	C3DMeshFileDummyObjectChunk	C3DMeshFileHelperPointChunk, CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129EFBC	0002	C3DMeshFileEngineMaterialChunk	:CMapFilenames: CIVCountedPointeeBase	SI
0129ECB8	0011	C3DMeshFileGroupChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E5B4	0011	C3DMeshFileHelperPointChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E538	0011	C3DMeshFileHelpersChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E0D0	0001	C3DMeshFileLoader	CChunkedFileLoader	SI
0129EE34	0011	C3DMeshFileMapChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129EEE0	0011	C3DMeshFileMaterialChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129EE90	0011	C3DMeshFileMaterialExtChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129EDE0	0011	C3DMeshFileMaterialListChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129EF4C	0011	C3DMeshFilePartitionChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129ED74	0011	C3DMeshFilePrimitiveChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E090	0011	C3DMeshFileRootChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E080	0001	C3DMeshFileSaver	CChunkedFileSaver	SI
0129EC28	0011	C3DMeshFileSmoothingGroupsChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129EB18	0011	C3DMeshFileSubMeshChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129EB54	0011	C3DMeshFileTransformationChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129ED34	0011	C3DMeshFileTrianglesChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129EC6C	0011	C3DMeshFileUniqueVerticesChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129ECF8	0011	C3DMeshFileVerticesChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E404	0011	C3DMeshFileXAnimatedPrimitiveBlockChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E278	0011	C3DMeshFileXAnimatedPrimitiveChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E2FC	0011	C3DMeshFileXBoundingBoxChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E2BC	0011	C3DMeshFileXBoundingSphereChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E450	0001	C3DMeshFileXLoader	C3DMeshFileLoader, CChunkedFileLoader	SI
0129E238	0011	C3DMeshFileXMappingInfoChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E1F8	0011	C3DMeshFileXTextureIndexChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E380	0011	C3DMeshFileXTriangleStripChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E3C0	0011	C3DMeshFileXUVTangentChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E33C	0011	C3DMeshFileXVertexDataChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129CDD0	0002	C3DMeshInfo	:CMeshData: CIVCountedPointeeBase	SI
0129CDA4	0010	C3DMeshLODInfo	CResource, CIVCountedPointeeBase	SI
0129EDB4	0002	C3DMeshMaterial	:CFilenames: CIVCountedPointeeBase	SI
01239860	0001	C3DMeshObject	CBaseClass	SI
0129CF04	0010	C3DMeshStats	CMovableResource	SI
0129DF20	0001	C3DMeshStripifier	CBaseClassNonCopyable, CBaseClass	SI
0129F048	0003	C3DOptimisedMeshBase	CBaseClassNonCopyable, CBaseClass	SI
01239824	0001	C3DOrientationInterpolator	CBaseClass	SI
0123981C	0001	C3DPositionInterpolator	CBaseClass	SI
0129DF94	0004	C3DPrimitive2	CMovableResource	SI
0129E13C	0001	C3DQuadricBasedMeshOptimiser	CBaseClassNonCopyable, CBaseClass	SI
0129D498	0001	C3DSkeletalMorph	CBaseClassNonCopyable, CBaseClass	SI
0129D490	0001	C3DSkeletalMorphParameter	CBaseClassNonCopyable, CBaseClass	SI
0123610C	0025	CAbilityButtonGuiDef	CParentDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
012328E4	0025	CAbilityDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0123649C	0025	CAbilityTrackDef	CParentDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
01236504	0025	CAbilityTrackLevelDef	CParentDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0129B424	0005	CACompressor	CBaseClass	SI
0123200C	0025	CActionUseDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0123C7F4	0025	CActivateQuestDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0129E674	0001	CActiveSoundInfo	CBaseClass	SI
0122ECCC	0016	CAFile	CBaseClassNonCopyable, CBaseClass	SI
012780C4	0005	CAIBrain	CSuspendableProcessMicrothread, CASuspendableProcess, CBaseClassNonCopyable, CBaseClass	SI
0123DAA4	0025	CAICreatureWillPowerIndicatorDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
01299350	0001	CAIFilter_NoOtherYellForHelp	CAIStateGroupBase::CAIFilterBase, struct std::unary_function<void,bool>	SI
01292A8C	0001	CAIFilter_ShouldStillBeWorkingInWarehouse	CAIStateGroupBase::CAIFilterBase, struct std::unary_function<void,bool>	SI
0125C1F4	0025	CAIGameCameraBase		SI
0129CA10	0003	CAInputProcess	CBaseClassNonCopyable, CBaseClass	SI
0126D014	0025	CAIScratchpadDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0128AEC4	0015	CAIStateGroup_ApprenticeHero	CAIStateGroupBase, CBaseClass	SI
0128AFC0	0014	CAIStateGroup_AvoidRegionExit	CAIStateGroupBase, CBaseClass	SI
0128C0BC	0014	CAIStateGroup_BalverineCornered	CAIStateGroupBase, CBaseClass	SI
0128C0F8	0014	CAIStateGroup_BalverineJumpAtFleeingEnemy	CAIStateGroupBase, CBaseClass	SI
01289DD8	0014	CAIStateGroup_BalverineWander	CAIStateGroupBase, CBaseClass	SI
01288E94	0017	CAIStateGroup_BanditGossip	CAIStateGroup_MinionGossip, CAIStateGroupBase, CBaseClass	SI
0128CA38	0014	CAIStateGroup_BanditKingCharge	CAIStateGroupBase, CBaseClass	SI
0128CA74	0014	CAIStateGroup_BanditKingLunge	CAIStateGroupBase, CBaseClass	SI
0128CAB0	0014	CAIStateGroup_BanditKingThrowWeapons	CAIStateGroupBase, CBaseClass	SI
0128AD54	0018	CAIStateGroup_BanditPlayDice	CAIStateGroupBase, CBaseClass	SI
0128ADB4	0018	CAIStateGroup_BanditPlot	CAIStateGroup_BanditPlayDice, CAIStateGroupBase, CBaseClass	SI
0128B78C	0014	CAIStateGroup_BanditSitRoundCampfire	CAIStateGroupBase, CBaseClass	SI
0128A6EC	0014	CAIStateGroup_BeetleToggleHover	CAIStateGroupBase, CBaseClass	SI
0128961C	0014	CAIStateGroup_BirdFlyToFood	CAIStateGroup_FlyingThingBase, CAIStateGroupBase, CBaseClass	SI
01289670	0014	CAIStateGroup_BirdGroundWander	CAIStateGroupBase, CBaseClass	SI
012896C0	0014	CAIStateGroup_BirdStartled	CAIStateGroup_FlyingThingBase, CAIStateGroupBase, CBaseClass	SI
0128C948	0014	CAIStateGroup_BoastingCrowdMember	CAIStateGroupBase, CBaseClass	SI
0128C38C	0014	CAIStateGroup_BriarRose	CAIStateGroupBase, CBaseClass	SI
0128C3C8	0014	CAIStateGroup_BriarRoseWillUse	CAIStateGroupBase, CBaseClass	SI
0128B918	0014	CAIStateGroup_ButterflyWander	CAIStateGroup_FlyingThingBase, CAIStateGroupBase, CBaseClass	SI
0128FF0C	0014	CAIStateGroup_BuyFromSeller	CAIStateGroup_WorkBase<CAIStateGroupBase>, CAIStateGroupBase, CBaseClass	SI
0128CCD8	0014	CAIStateGroup_CarryCrateAndFollow	CAIStateGroupBase, CBaseClass	SI
01289514	0014	CAIStateGroup_ChickenBeg	CAIStateGroupBase, CBaseClass	SI
012894C8	0014	CAIStateGroup_ChickenPanic	CAIStateGroupBase, CBaseClass	SI
01289404	0014	CAIStateGroup_ChickenWander	CAIStateGroupBase, CBaseClass	SI
01289A4C	0015	CAIStateGroup_Clean	CAIStateGroupBase, CBaseClass	SI
01289A9C	0015	CAIStateGroup_CleanHouse	CAIStateGroup_Clean, CAIStateGroupBase, CBaseClass	SI
01289AEC	0015	CAIStateGroup_CleanWork	CAIStateGroup_Clean, CAIStateGroupBase, CBaseClass	SI
0128D4E4	0024	CAIStateGroup_CreatureAdvanceInCover	CAIStateGroup_CreatureUseCoverBase, CAIStateGroup_EnemyCreatureBase, CAIStateGroupBase, CBaseClass	SI
0128D64C	0024	CAIStateGroup_CreatureFindCover	CAIStateGroup_CreatureUseCoverBase, CAIStateGroup_EnemyCreatureBase, CAIStateGroupBase, CBaseClass	SI
0128A5D8	0014	CAIStateGroup_CreatureGoUnderground	CAIStateGroupBase, CBaseClass	SI
0128A634	0014	CAIStateGroup_CreatureIdleUnderground	CAIStateGroupBase, CBaseClass	SI
0128C814	0014	CAIStateGroup_CreatureRangedCombat2	CAIStateGroupBase, CBaseClass	SI
0128C894	0014	CAIStateGroup_CreatureRangedCombatFireAtSpecificTargets	CAIStateGroupBase, CBaseClass	SI
0128A484	0014	CAIStateGroup_CreatureRangedCombatUseWillShield	CAIStateGroupBase, CBaseClass	SI
0128C90C	0014	CAIStateGroup_CreatureSeekEnemyUnderground	CAIStateGroup_CreatureIdleUnderground, CAIStateGroupBase, CBaseClass	SI
0128D54C	0024	CAIStateGroup_CreatureTakeCover	CAIStateGroup_CreatureUseCoverBase, CAIStateGroup_EnemyCreatureBase, CAIStateGroupBase, CBaseClass	SI
0128D31C	0024	CAIStateGroup_CreatureUseCoverBase	CAIStateGroup_EnemyCreatureBase, CAIStateGroupBase, CBaseClass	SI
0128C9C0	0014	CAIStateGroup_DeedReactionRoot	CAIStateGroupBase, CBaseClass	SI
0128C9FC	0014	CAIStateGroup_DeedReactionRootFromSleep	CAIStateGroup_DeedReactionRoot, CAIStateGroupBase, CBaseClass	SI
0128A9A4	0014	CAIStateGroup_Drunk	CAIStateGroupBase, CBaseClass	SI
0128C044	0014	CAIStateGroup_EarthTroll	CAIStateGroup_TrollBase, CAIStateGroupBase, CBaseClass	SI
0128D25C	0016	CAIStateGroup_EatAtHome	CAIStateGroup_EatAtTable, CAIStateGroupBase, CBaseClass	SI
0128CE6C	0016	CAIStateGroup_EatAtTable	CAIStateGroupBase, CBaseClass	SI
0128CEB4	0016	CAIStateGroup_EatAtTavern	CAIStateGroup_EatAtTable, CAIStateGroupBase, CBaseClass	SI
0128B8BC	0022	CAIStateGroup_EnemyCreatureBase	CAIStateGroupBase, CBaseClass	SI
01289578	0014	CAIStateGroup_FireflyWander	CAIStateGroup_FlyingThingBase, CAIStateGroupBase, CBaseClass	SI
0128F9BC	0014	CAIStateGroup_FlyingThingBase	CAIStateGroupBase, CBaseClass	SI
0128C080	0014	CAIStateGroup_FollowPlayer	CAIStateGroupBase, CBaseClass	SI
0128A95C	0014	CAIStateGroup_Freeze	CAIStateGroupBase, CBaseClass	SI
0128BFC4	0016	CAIStateGroup_GameMaster	CAIStateGroup_GoToPub, CAIStateGroupBase, CBaseClass	SI
0128FDEC	0016	CAIStateGroup_Gaze	CAIStateGroupBase, CBaseClass	SI
0128FE7C	0016	CAIStateGroup_GazeAtHome	CAIStateGroup_Gaze, CAIStateGroupBase, CBaseClass	SI
0128FEC4	0016	CAIStateGroup_GazeAtWork	CAIStateGroup_Gaze, CAIStateGroupBase, CBaseClass	SI
0128FE34	0016	CAIStateGroup_GazeOutside	CAIStateGroup_Gaze, CAIStateGroupBase, CBaseClass	SI
0128B104	0014	CAIStateGroup_GoToBed	CAIStateGroupBase, CBaseClass	SI
0128BEC4	0014	CAIStateGroup_GoToPub	CAIStateGroupBase, CBaseClass	SI
0128936C	0014	CAIStateGroup_Guard	CAIStateGroupBase, CBaseClass	SI
0128D444	0015	CAIStateGroup_Guildmaster	CAIStateGroupBase, CBaseClass	SI
01289CA0	0014	CAIStateGroup_HandyMan	CAIStateGroup_WorkBase<CAIStateGroupBase>, CAIStateGroupBase, CBaseClass	SI
0128A2C0	0014	CAIStateGroup_HoverAllAroundTest	CAIStateGroupBase, CBaseClass	SI
0128C634	0023	CAIStateGroup_HoverAttack	CAIStateGroup_HoverMovementBase, CAIStateGroup_EnemyCreatureBase, CAIStateGroupBase, CBaseClass	SI
0128C754	0023	CAIStateGroup_HoverAttackArea	CAIStateGroup_HoverAttack, CAIStateGroup_HoverMovementBase, CAIStateGroup_EnemyCreatureBase, CAIStateGroupBase, CBaseClass	SI
0128C694	0023	CAIStateGroup_HoverAttackUnlessTargetIsFleeing	CAIStateGroup_HoverAttack, CAIStateGroup_HoverMovementBase, CAIStateGroup_EnemyCreatureBase, CAIStateGroupBase, CBaseClass	SI
0128D484	0023	CAIStateGroup_HoverHornetQueen	CAIStateGroup_HoverMovementBase, CAIStateGroup_EnemyCreatureBase, CAIStateGroupBase, CBaseClass	SI
0128C7B4	0023	CAIStateGroup_HoverHornetQueenTakeDamage	CAIStateGroup_HoverMovementBase, CAIStateGroup_EnemyCreatureBase, CAIStateGroupBase, CBaseClass	SI
0128C6F4	0023	CAIStateGroup_HoverKeepInArea	CAIStateGroup_HoverMovementBase, CAIStateGroup_EnemyCreatureBase, CAIStateGroupBase, CBaseClass	SI
0128A1DC	0023	CAIStateGroup_HoverMovementBase	CAIStateGroup_EnemyCreatureBase, CAIStateGroupBase, CBaseClass	SI
0128C5D4	0023	CAIStateGroup_HoverWander	CAIStateGroup_HoverMovementBase, CAIStateGroup_EnemyCreatureBase, CAIStateGroupBase, CBaseClass	SI
0128D1BC	0023	CAIStateGroup_HoverWanderAroundThing	CAIStateGroup_HoverMovementBase, CAIStateGroup_EnemyCreatureBase, CAIStateGroupBase, CBaseClass	SI
0128CB64	0014	CAIStateGroup_IceTrollIcicleAssault	CAIStateGroupBase, CBaseClass	SI
0128CAEC	0014	CAIStateGroup_IceTrollIcicleAttack	CAIStateGroupBase, CBaseClass	SI
0128CB28	0014	CAIStateGroup_IceTrollPoundGroundAttack	CAIStateGroupBase, CBaseClass	SI
01289A10	0014	CAIStateGroup_IdleAtHome	CAIStateGroupBase, CBaseClass	SI
0128C170	0014	CAIStateGroup_JackDragon	CAIStateGroupBase, CBaseClass	SI
0128D384	0015	CAIStateGroup_JackOfBladesBase	CAIStateGroupBase, CBaseClass	SI
0128D6B4	0015	CAIStateGroup_JackOfBladesStage1	CAIStateGroup_JackOfBladesBase, CAIStateGroupBase, CBaseClass	SI
0128D3C4	0015	CAIStateGroup_JackOfBladesStage2	CAIStateGroup_JackOfBladesBase, CAIStateGroupBase, CBaseClass	SI
0128D404	0015	CAIStateGroup_JackOfBladesStage3	CAIStateGroup_JackOfBladesBase, CAIStateGroupBase, CBaseClass	SI
01289824	0014	CAIStateGroup_KidHurtSelfRunToMother	CAIStateGroupBase, CBaseClass	SI
0128BB90	0014	CAIStateGroup_KidPlayHopscotch	CAIStateGroupBase, CBaseClass	SI
0128BBCC	0014	CAIStateGroup_KidReactToBlockage	CAIStateGroupBase, CBaseClass	SI
01289798	0014	CAIStateGroup_KidWanderNearKids	CAIStateGroupBase, CBaseClass	SI
0128BB54	0014	CAIStateGroup_KidWatchHopscotch	CAIStateGroupBase, CBaseClass	SI
0128AAF4	0014	CAIStateGroup_KrakenAttack	CAIStateGroupBase, CBaseClass	SI
0128ABF4	0014	CAIStateGroup_KrakenTentacleAttack	CAIStateGroupBase, CBaseClass	SI
0128AB48	0014	CAIStateGroup_KrakenTentacleIdle	CAIStateGroupBase, CBaseClass	SI
0128AB9C	0014	CAIStateGroup_KrakenTentacleRise	CAIStateGroupBase, CBaseClass	SI
0128BDBC	0017	CAIStateGroup_LightHomeCandle	CAIStateGroupBase, CBaseClass	SI
0128BE04	0017	CAIStateGroup_LightWorkCandle	CAIStateGroup_LightHomeCandle, CAIStateGroupBase, CBaseClass	SI
01289BBC	0014	CAIStateGroup_LookAtInterestingThings	CAIStateGroupBase, CBaseClass	SI
0128C1AC	0014	CAIStateGroup_MazeBase	CAIStateGroupBase, CBaseClass	SI
0128C224	0014	CAIStateGroup_MazeDefensiveMeleeCombat	CAIStateGroup_MazeBase, CAIStateGroupBase, CBaseClass	SI
0128C1E8	0014	CAIStateGroup_MazeRangedCombat	CAIStateGroup_MazeBase, CAIStateGroupBase, CBaseClass	SI
0128C260	0014	CAIStateGroup_MazeShieldedChase	CAIStateGroup_MazeBase, CAIStateGroupBase, CBaseClass	SI
0128D0DC	0014	CAIStateGroup_MazeTeleport	CAIStateGroup_MazeBase, CAIStateGroupBase, CBaseClass	SI
0128C29C	0014	CAIStateGroup_MazeTutorialBattle	CAIStateGroup_MazeBase, CAIStateGroupBase, CBaseClass	SI
0128C314	0014	CAIStateGroup_MazeTutorialBattleRespondToLightning	CAIStateGroup_MazeBase, CAIStateGroupBase, CBaseClass	SI
0128C2D8	0014	CAIStateGroup_MazeTutorialBattleTeleport	CAIStateGroup_MazeBase, CAIStateGroupBase, CBaseClass	SI
0128C350	0014	CAIStateGroup_MazeTutorialBattleUseShield	CAIStateGroup_MazeBase, CAIStateGroupBase, CBaseClass	SI
0128D05C	0016	CAIStateGroup_MeleeCombatNearby	CAIStateGroup_MeleeCombatNearbyBase, CAIStateGroupBase, CBaseClass	SI
0128B99C	0016	CAIStateGroup_MeleeCombatNearby2	CAIStateGroup_MeleeCombatNearbyBase, CAIStateGroupBase, CBaseClass	SI
0128B9E4	0016	CAIStateGroup_MeleeCombatNearbyAttackWhenVeryClose	CAIStateGroup_MeleeCombatNearbyBase, CAIStateGroupBase, CBaseClass	SI
0128B954	0016	CAIStateGroup_MeleeCombatNearbyBase	CAIStateGroupBase, CBaseClass	SI
0128C494	0018	CAIStateGroup_MinionBehaviourCrowdBase	CAIStateGroupBase, CBaseClass	SI
0128C404	0014	CAIStateGroup_MinionBehaviourGreetCreature	CAIStateGroupBase, CBaseClass	SI
0128D16C	0018	CAIStateGroup_MinionBehaviourPodiumEmoteNeutral	CAIStateGroup_MinionBehaviourCrowdBase, CAIStateGroupBase, CBaseClass	SI
0128D11C	0019	CAIStateGroup_MinionBehaviourSad	CAIStateGroupBehaviourBase, CAIStateGroupBase, CBaseClass	SI
0128B2A8	0014	CAIStateGroup_MinionCuriosity	CAIStateGroupBase, CBaseClass	SI
0128B3D4	0014	CAIStateGroup_MinionFaceHero	CAIStateGroupBase, CBaseClass	SI
0128B17C	0014	CAIStateGroup_MinionFindPersonalSpace	CAIStateGroupBase, CBaseClass	SI
0128CC24	0014	CAIStateGroup_MinionFollowThing	CAIStateGroupBase, CBaseClass	SI
01288E34	0017	CAIStateGroup_MinionGossip	CAIStateGroupBase, CBaseClass	SI
0128AE74	0014	CAIStateGroup_MinionGuardBribed	CAIStateGroupBase, CBaseClass	SI
01288DCC	0015	CAIStateGroup_MinionGuardFollowPlayer	CAIStateGroupBase, CBaseClass	SI
0128AE20	0014	CAIStateGroup_MinionGuardGreetPlayer	CAIStateGroupBase, CBaseClass	SI
01289228	0014	CAIStateGroup_MinionGuardHeardYellForHelp	CAIStateGroupBase, CBaseClass	SI
012892B8	0014	CAIStateGroup_MinionGuardReactToBodyFoundMessage	CAIStateGroupBase, CBaseClass	SI
0128B26C	0014	CAIStateGroup_MinionGuardReactToBribe	CAIStateGroupBase, CBaseClass	SI
0128B230	0014	CAIStateGroup_MinionGuardReactToCriminal	CAIStateGroupBase, CBaseClass	SI
0128B750	0014	CAIStateGroup_MinionGuardReactToPlayerWithWeapon	CAIStateGroupBase, CBaseClass	SI
012890C8	0014	CAIStateGroup_MinionHasInformation	CAIStateGroupBase, CBaseClass	SI
0128BF48	0014	CAIStateGroup_MinionHawkingFromStall	CAIStateGroup_WorkBase<CAIStateGroupBase>, CAIStateGroupBase, CBaseClass	SI
0128B320	0014	CAIStateGroup_MinionKidAnnoy	CAIStateGroupBase, CBaseClass	SI
01288F48	0014	CAIStateGroup_MinionKidCalledToMother	CAIStateGroupBase, CBaseClass	SI
0128B35C	0014	CAIStateGroup_MinionKidGroupTag	CAIStateGroupBase, CBaseClass	SI
0128A380	0014	CAIStateGroup_MinionLeaveRegion	CAIStateGroupBase, CBaseClass	SI
01289180	0014	CAIStateGroup_MinionListenToStory	CAIStateGroupBase, CBaseClass	SI
0128A3DC	0014	CAIStateGroup_MinionMotherConsoleChild	CAIStateGroupBase, CBaseClass	SI
0128B2E4	0014	CAIStateGroup_MinionMotherProtectFamily	CAIStateGroupBase, CBaseClass	SI
0128B410	0014	CAIStateGroup_MinionPutOutFires	CAIStateGroupBase, CBaseClass	SI
01289070	0014	CAIStateGroup_MinionReactToAlert	CAIStateGroupBase, CBaseClass	SI
0128A19C	0014	CAIStateGroup_MinionReactToApology	CAIStateGroupBase, CBaseClass	SI
0128C4E0	0014	CAIStateGroup_MinionReactToBurglary	CAIStateGroupBase, CBaseClass	SI
0128B488	0014	CAIStateGroup_MinionReactToCorpse	CAIStateGroupBase, CBaseClass	SI
0128C558	0014	CAIStateGroup_MinionReactToCrime	CAIStateGroupBase, CBaseClass	SI
0128C594	0014	CAIStateGroup_MinionReactToCrimeFromSleep	CAIStateGroup_MinionReactToCrime, CAIStateGroupBase, CBaseClass	SI
0128B1F4	0014	CAIStateGroup_MinionReactToCriminal	CAIStateGroupBase, CBaseClass	SI
0128B500	0014	CAIStateGroup_MinionReactToEnemy	CAIStateGroupBase, CBaseClass	SI
0128A104	0014	CAIStateGroup_MinionReactToNoise	CAIStateGroupBase, CBaseClass	SI
0128B1B8	0014	CAIStateGroup_MinionReactToPlayerInteraction	CAIStateGroupBase, CBaseClass	SI
0128C51C	0014	CAIStateGroup_MinionReactToTrespassing	CAIStateGroupBase, CBaseClass	SI
0128B4C4	0014	CAIStateGroup_MinionReactToUnconsciousPerson	CAIStateGroupBase, CBaseClass	SI
0128B6C4	0019	CAIStateGroup_MinionSitAtHome	CAIStateGroup_MinionSitOnSeatBase, CAIStateGroup_UsesSeat, CAIStateGroupBase, CBaseClass	SI
0128B624	0019	CAIStateGroup_MinionSitAtInn	CAIStateGroup_MinionSitOnSeatBase, CAIStateGroup_UsesSeat, CAIStateGroupBase, CBaseClass	SI
0128B674	0019	CAIStateGroup_MinionSitAtSchool	CAIStateGroup_MinionSitOnSeatBase, CAIStateGroup_UsesSeat, CAIStateGroupBase, CBaseClass	SI
0128B5D4	0019	CAIStateGroup_MinionSitAtWork	CAIStateGroup_MinionSitOnSeatBase, CAIStateGroup_UsesSeat, CAIStateGroupBase, CBaseClass	SI
0128CFBC	0019	CAIStateGroup_MinionSitOnSeat	CAIStateGroup_MinionSitOnSeatBase, CAIStateGroup_UsesSeat, CAIStateGroupBase, CBaseClass	SI
0128B584	0019	CAIStateGroup_MinionSitOnSeatBase	CAIStateGroup_UsesSeat, CAIStateGroupBase, CBaseClass	SI
